BookingID,CustomerID,DriverID,CabID,BookingDate,PickupLocation,DropoffLocation,TripStart,TripEnd,DistanceKM,Fare,Status
1,218,5,31,2025-05-19 04:51:08,Market,Hotel,2025-05-19 05:17:08,,17.69,213.19,Cancelled
2,204,24,34,2025-05-05 23:53:47,Office,Mall,2025-05-06 00:15:47,2025-05-06 00:56:47,20.84,310.07,Completed
3,330,39,58,2025-04-22 16:31:37,Office,Mall,2025-04-22 16:54:37,2025-04-22 16:56:37,1.42,17.82,Completed
4,160,49,12,2025-04-27 23:46:08,Hotel,Market,2025-04-28 00:00:08,,8.48,98.35,Cancelled
5,228,19,17,2025-07-15 09:09:41,Airport,Station,2025-07-15 09:35:41,2025-07-15 09:38:41,1.72,17.41,Completed
6,434,24,34,2025-09-10 13:54:22,Airport,University,2025-09-10 14:19:22,2025-09-10 14:57:22,19.24,244.33,Completed
7,435,36,14,2025-07-01 08:56:40,Mall,Station,2025-07-01 09:01:40,2025-07-01 09:11:40,5.06,75.08,Completed
8,260,50,2,2025-09-26 22:18:29,Station,Office,2025-09-26 22:39:29,,20.91,271.11,Cancelled
9,344,30,50,2025-04-19 23:03:51,Market,Office,2025-04-19 23:20:51,2025-04-19 23:23:51,1.82,19.39,Completed
10,137,11,34,2025-05-16 03:00:14,Office,Mall,2025-05-16 03:08:14,2025-05-16 03:54:14,23.06,332.85,Completed
11,310,29,7,2025-08-29 00:23:57,Mall,Station,2025-08-29 00:42:57,2025-08-29 01:16:57,17.34,227.23,Completed
12,218,40,3,2025-05-06 00:07:17,Hotel,Market,2025-05-06 00:17:17,2025-05-06 00:48:17,15.7,232.07,Completed
13,105,45,47,2025-05-14 17:33:07,Mall,Office,2025-05-14 17:56:07,,13.44,151.32,Ongoing
14,279,31,27,2025-04-24 02:50:31,Office,Market,2025-04-24 02:58:31,,18.7,221.62,Cancelled
15,367,30,50,2025-08-23 23:47:03,Hotel,Station,2025-08-24 00:10:03,2025-08-24 00:59:03,24.89,271.25,Completed
16,454,11,34,2025-04-16 13:09:26,Office,Station,2025-04-16 13:37:26,,24.65,250.95,Cancelled
17,343,4,34,2025-06-24 10:52:45,Office,Station,2025-06-24 11:19:45,2025-06-24 11:54:45,17.6,263.56,Completed
18,36,34,9,2025-09-11 17:38:59,University,Office,2025-09-11 17:47:59,,5.25,60.68,Ongoing
19,233,27,19,2025-05-15 19:34:30,Office,Hotel,2025-05-15 19:50:30,2025-05-15 20:20:30,15.14,158.44,Completed
20,222,2,14,2025-08-09 13:20:26,Station,University,2025-08-09 13:30:26,2025-08-09 14:06:26,18.45,246.78,Completed
21,56,19,17,2025-10-04 17:10:53,Hotel,Mall,2025-10-04 17:27:53,2025-10-04 17:51:53,12.25,177.69,Completed
