TripID,BookingID,StartTime,EndTime,DistanceKM,Fare,PaymentMethod,SurgeMultiplier,Stops,GPSRoute
2,2,2025-05-06 00:15:47,2025-05-06 00:56:47,20.84,310.07,Cash,1.04,2,
3,3,2025-04-22 16:54:37,2025-04-22 16:56:37,1.42,17.82,Cash,1.05,2,
5,5,2025-07-15 09:35:41,2025-07-15 09:38:41,1.72,17.41,Wallet,1.1,0,
6,6,2025-09-10 14:19:22,2025-09-10 14:57:22,19.24,244.33,Cash,1.32,2,
7,7,2025-07-01 09:01:40,2025-07-01 09:11:40,5.06,75.08,Wallet,1.2,1,
9,9,2025-04-19 23:20:51,2025-04-19 23:23:51,1.82,19.39,Cash,1.19,2,
10,10,2025-05-16 03:08:14,2025-05-16 03:54:14,23.06,332.85,Wallet,1.35,2,
11,11,2025-08-29 00:42:57,2025-08-29 01:16:57,17.34,227.23,Cash,1.34,1,
12,12,2025-05-06 00:17:17,2025-05-06 00:48:17,15.7,232.07,Cash,1.17,1,
15,15,2025-08-24 00:10:03,2025-08-24 00:59:03,24.89,271.25,Card,1.27,3,
17,17,2025-06-24 11:19:45,2025-06-24 11:54:45,17.6,263.56,Wallet,1.03,3,
19,19,2025-05-15 19:50:30,2025-05-15 20:20:30,15.14,158.44,Cash,1.06,0,
20,20,2025-08-09 13:30:26,2025-08-09 14:06:26,18.45,246.78,Card,1.37,3,
21,21,2025-10-04 17:27:53,2025-10-04 17:51:53,12.25,177.69,Cash,1.03,2,
22,22,2025-08-19 06:30:12,2025-08-19 07:08:12,19.01,205.55,Wallet,1.38,0,
24,24,2025-07-29 10:08:59,2025-07-29 10:44:59,18.01,237.34,Cash,1.46,3,
26,26,2025-09-29 19:40:26,2025-09-29 19:51:26,5.7,66.21,Wallet,1.45,3,
27,27,2025-09-17 18:48:52,2025-09-17 18:52:52,2.25,25.0,Cash,1.09,2,
28,28,2025-07-14 12:10:01,2025-07-14 12:26:01,8.15,120.96,Cash,1.49,2,
29,29,2025-04-19 05:56:14,2025-04-19 06:07:14,5.98,62.34,Cash,1.49,3,
31,31,2025-09-10 06:18:02,2025-09-10 06:42:02,12.3,167.11,Card,1.14,1,
32,32,2025-09-26 02:33:02,2025-09-26 02:40:02,3.84,45.91,Cash,1.19,0,
33,33,2025-04-13 22:16:00,2025-04-13 22:47:00,15.77,161.23,Card,1.37,0,
34,34,2025-09-16 00:31:09,2025-09-16 00:42:09,5.71,73.57,Card,1.27,1,
35,35,2025-08-10 22:07:18,2025-08-10 22:56:18,24.85,286.38,Wallet,1.21,0,
36,36,2025-08-26 14:40:28,2025-08-26 15:05:28,12.87,146.32,Cash,1.02,3,
37,37,2025-05-31 05:27:26,2025-05-31 06:03:26,18.06,207.8,Wallet,1.19,2,
38,38,2025-05-24 09:17:34,2025-05-24 09:24:34,3.68,45.09,Card,1.05,2,
39,39,2025-05-19 02:42:14,2025-05-19 03:30:14,24.08,332.85,Cash,1.21,3,
41,41,2025-07-17 23:11:41,2025-07-17 23:45:41,17.34,243.47,Wallet,1.1,3,
42,42,2025-07-08 23:41:13,2025-07-09 00:08:13,13.81,176.49,Cash,1.36,0,
43,43,2025-06-14 06:36:39,2025-06-14 07:13:39,18.71,195.88,Card,1.47,0,
44,44,2025-08-07 16:52:03,2025-08-07 17:41:03,24.63,347.94,Card,1.2,3,
45,45,2025-06-08 08:25:33,2025-06-08 08:58:33,16.51,243.21,Cash,1.32,2,
46,46,2025-05-08 10:00:27,2025-05-08 10:30:27,15.31,215.46,Card,1.23,1,
47,47,2025-05-18 11:06:55,2025-05-18 11:23:55,8.79,105.4,Card,1.2,1,
48,48,2025-04-15 06:08:58,2025-04-15 06:32:58,12.1,142.46,Cash,1.2,2,
49,49,2025-04-20 13:00:13,2025-04-20 13:23:13,11.98,140.98,Card,1.07,0,
50,50,2025-06-15 13:43:44,2025-06-15 14:04:44,10.85,152.98,Wallet,1.05,1,
51,51,2025-06-07 05:07:46,2025-06-07 05:16:46,4.55,48.73,Card,1.35,2,
52,52,2025-05-22 16:11:05,2025-05-22 17:00:05,24.7,263.56,Cash,1.31,0,
54,54,2025-06-05 00:59:41,2025-06-05 01:34:41,17.74,186.31,Cash,1.18,0,
55,55,2025-07-17 22:30:08,2025-07-17 23:15:08,22.94,284.51,Wallet,1.46,3,
57,57,2025-06-09 04:31:00,2025-06-09 04:58:00,13.64,195.04,Card,1.39,1,
58,58,2025-06-11 06:55:50,2025-06-11 07:07:50,6.17,75.89,Card,1.21,3,
59,59,2025-07-03 02:52:30,2025-07-03 03:13:30,10.86,148.7,Wallet,1.06,1,
